s,q1,dq1,d2q1,d3q1,q2,dq2,d2q2,d3q2,q3,dq3,d2q3,d3q3,q4,dq4,d2q4,d3q4,q5,dq5,d2q5,d3q5,q6,dq6,d2q6,d3q6
0,-0.007,-0.709114641146,-0.525934802974,9.8418235709,-0.143,-0.394677571539,0.572207686981,6.72092812329,0.193,-0.365976764281,1.87010614389,8.38059613537,0.007,-0.0789780592774,3.2270650437,5.41575371755,-0.107,0.230623607434,1.96252938562,-1.62829035129,0.007,0.994830090658,3.22239853424,-13.3288801754
0.025,-0.0248660152386,-0.719096058443,-0.269069677165,10.6835680244,-0.152670591877,-0.378267862457,0.74062022475,6.73313963176,0.184456408319,-0.316670877298,2.07156351816,7.70843042313,0.00604710528655,0.00322953510245,3.34294200802,3.83211469352,-0.100626034541,0.279070033975,1.90886822516,-2.66391744366,0.0328417587289,1.07102053771,2.86486068807,-15.2425752657
0.05,-0.0428991995254,-0.722408281525,0.00695830525685,11.371181729,-0.161878354763,-0.357655954935,0.907902808158,6.63001242998,0.177206562403,-0.262555580928,2.25419064942,6.87594872458,0.00718140472096,0.0878260097239,3.41768057596,2.1297541353,-0.093060369173,0.325852251746,1.82945184998,-3.68534523913,0.0604716929524,1.13769526916,2.46201222793,-16.9473132156
0.075,-0.0609272499064,-0.718622613477,0.298034325293,11.8843072289,-0.170518888863,-0.332906399117,1.07114369294,6.40971378075,0.171364402951,-0.204150525768,2.41412797705,5.89562701777,0.0104494755812,0.173749049642,3.44870507645,0.340515598287,-0.0843526075277,0.370332915008,1.72488669675,-4.67250157272,0.0896383188689,1.19379071508,2.01953997215,-18.4068241589
0.1,-0.0787684826209,-0.70741922239,0.599579198815,12.2062330545,-0.178490321147,-0.30415684167,1.2274177437,6.07301198924,0.167029708118,-0.142067579492,2.54787231801,4.78344923092,0.0158706169779,0.259882163807,3.43426689427,-1.50140582634,-0.0745680453306,0.411896071844,1.59627576828,-5.6058099758,0.12006543193,1.23839631291,1.5439769419,-19.5898156506
0.125,-0.0962346900445,-0.688597563265,0.906646174942,12.3243303488,-0.185695130149,-0.271617545077,1.37385171311,5.62328619165,0.164285908381,-0.0770008547965,2.65236044497,3.55856394237,0.0234357595323,0.345076016256,3.37349359766,-3.36024470632,-0.0637869819671,0.449959375833,1.44520054771,-6.466642548,0.151456182993,1.27077402646,1.04256839036,-20.4707145493
0.15,-0.113134226853,-0.662084253315,1.21402746201,12.2303928202,-0.192041938377,-0.235569278442,1.50768898125,5.06647343118,0.163198175881,-0.00971476347698,2.72504309506,2.24286366252,0.033106921621,0.428170736672,3.26641799128,-5.19948681393,-0.0521037335758,0.483985705969,1.27369183125,-7.23775179868,0.183497598735,1.29037429753,0.523120926882,-21.0302747886
0.175,-0.129275258964,-0.627938188664,1.51636795234,11.9208714753,-0.197447231929,-0.196359612806,1.62635219788,4.4109541378,0.163811834401,0.0589696409386,2.76394759578,0.86049674385,0.0448172303079,0.508018697863,3.11398633217,-6.9827111577,-0.0396253658661,0.513493925469,1.08419013767,-7.90367099017,0.215865452225,1.29684805072,-0.00616171872951,-21.2560362073
0.2,-0.14446910431,-0.586352756017,1.80828343492,11.396998148,-0.201836968261,-0.154397692428,1.72750231768,3.66737863636,0.166151129038,0.128189727555,2.76772756692,-0.562676376477,0.0584715120832,0.583507234971,2.91804545104,-8.67443211853,-0.0264701713536,0.538068529752,0.879496604846,-8.45107327484,0.248229381188,1.29005446546,-0.536852420154,-21.142623234
0.225,-0.158533591725,-0.537655062296,2.0844804694,10.6647945618,-0.205148035273,-0.110147590237,1.80909260186,2.84843875245,0.170218386566,0.197057420309,2.73569846767,-1.99966952623,0.0739474453744,0.653580781124,2.68130903167,-10.2409212911,-0.0127659216466,0.557367959597,0.662715514978,-8.86908091705,0.280258145627,1.2700643289,-1.06047976352,-20.6918761201
